Продукт;Белки;Жиры;Углеводы;Каллории
Лещ холодного копчения;29.7;4.6;0.0;160.0
Масляная рыба копченая;18.0;12.0;0.0;180.0
Мойва копченая;18.0;22.0;0.0;270.0
Окунь морской горячего копчения;23.5;8.0;0.0;166.0
Осетр холодного копчения, балык;20.4;12.5;0.0;194.0
Салака копченая;25.4;5.6;0.0;152.0
Сельдь горячего копчения;21.8;14.3;0.0;215.0
Сельдь атлантическая среднесоленая;17.0;8.5;0.0;145.0
Сельдь тихоокеанская среднесоленая;17.4;17.1;0.0;224.0
Сельдь соленая;19.8;15.4;0.0;217.0
Семга соленая потрошеная с головой;22.5;12.5;0.0;202.0
Семга копченая;22.5;12.5;0.0;202.0
Скумбрия горячего копчения;22.1;23.8;0.0;307.0
Скумбрия холодного копчения;23.4;6.4;0.0;150.0
Форель копченая;26.0;3.1;0.5;132.0
Форель слабосоленая;20.6;10.1;0.0;186.0
Форель слабосоленая жирная;23.0;15.0;0.0;227.0
Хамса соленая;21.2;9.0;0.0;166.0
Бычки в томатном соусе;17.5;2.0;0.0;88.0
Горбуша натуральная;20.9;5.8;0.0;136.0
Горбуша в томатном соусе;15.0;6.0;4.1;130.0
Кальмары;15.0;1.0;1.7;76.0
Килька в томатном соусе;14.0;12.0;4.5;182.0
Крабы;18.7;1.1;0.1;85.0
Лосось (консервы);20.6;6.3;0.0;144.0
Мидии (консервы);17.5;2.0;0.0;88.0
Морская капуста;0.8;5.1;0.0;49.0
Печень минтая;6.0;50.0;0.0;474.0
Печень трески;4.2;65.7;1.2;613.0
Сайра бланшированная в масле;18.3;23.3;0.0;283.0
Сардины с добавлением масла;19.0;18.0;0.0;238.0
Сардины в масле;24.1;13.9;0.0;221.0
Сардины в томатном соусе;17.0;9.9;1.4;162.0
Сельдь;17.5;2.0;0.0;88.0
Сельдь в растительном масле;16.4;26.5;0.0;301.0
Скумбрия натуральная;17.7;14.4;0.0;200.0
Скумбрия в масле;14.4;28.9;0.0;318.0
Ставрида в масле;15.6;27.4;0.0;309.0
Ставрида в томатном соусе;14.8;2.3;73.0;110.0
Тунец натуральный;22.5;0.7;0.0;96.0
Тунец в масле;22.0;15.9;0.0;232.0
Шпроты в масле;17.4;32.4;0.4;363.0
Шпротный паштет;12.0;14.0;5.3;195.0
